8ATC,2
4XRN,2
2VNO,3
2JFY,5
1Y5U,3
4O1C,2
3BAA,6
4I9M,4
5JOV,3
4GOL,2
2DOJ,3
4WS1,3
4M9U,6
1XBY,4
3QIH,3
5F5K,3
4HLF,2
2JF2,2
2L7L,2
3ZR0,3
4MI4,2
2E6M,3
1PGS,3
3NL1,1
1EOU,4
4EYH,2
2C7T,2
1BG7,1
2DHE,3
3KV4,1
1QVZ,4
2A6B,3
5DSH,2
4FTS,3
5AVK,3
1EOL,3
4Y3P,3
4NL4,3
3WH7,3
2VTS,2
1SN8,3
6A3H,3
1ZHR,3
5FGY,3
3EBC,3
4NWJ,5
3MIL,3
4S1M,2
3ATJ,1
2YIQ,2
1BTP,3
4YZT,3
1LMT,3
1FU7,2
1GGO,2
1VM8,2
3MEB,2
1ZN9,2
4CXM,2
2PVF,2
2QPJ,3
1WCS,3
1EYD,3
5DWB,3
4CNN,4
3R3B,3
4H27,4
4Q80,3
4G09,1
4RX8,2
3LY4,3
4WF5,1
4L64,2
4JCP,5
1FR7,4
4CRY,4
3F61,2
5DI1,2
3OIT,2
1NP4,1
4N1H,3
2A2Q,3
3DSC,3
1PGO,1
5P7Y,3
4GVJ,2
3AQM,2
3E2E,2
2B3K,3
1WCH,3
1MMV,1
4ADW,1
4BRW,3
3FOZ,2
5TV6,6
4TYT,3
2R3Q,2
2GST,2
4X2F,2
2UW0,2
2GVH,3
1KYN,3
4RY3,3
1JH8,2
4EKN,2
4TRN,1
1B4V,1
5M9P,3
3KGF,2
3FVP,3
1XLE,5
4BBJ,3
4HPN,5
4EC0,5
5CZJ,3
3QRH,4
2NWO,4
4DEM,2
1NLU,3
1XAS,3
4FV9,2
1O0T,3
1D3T,3
1N7Q,4
1O2Y,3
1K1O,3
3WSU,3
5CMQ,1
1AJ8,2
3LK5,2
1TTQ,4
4B8S,2
2OJG,2
1HG8,3
1YF3,2
5EAV,2
4HGF,1
4EHJ,2
3UNL,5
3ZEW,2
2VQQ,3
1R74,2
4RWP,2
1W01,5
2ORE,2
3OEF,2
1DZU,4
3TUT,6
2KQD,4
1FMC,1
4AOF,2
4FUY,2
2O0V,4
4PVF,2
3I15,3
3D9Z,4
2POO,3
3Q52,2
3EQB,2
1HEX,1
4TNS,5
3PBD,3
1SHA,2
4JZ4,2
3IJF,3
1QPF,5
3DDC,3
157L,3
3Q86,2
1KUY,2
4TNL,3
4EJ1,1
4L2D,1
3HXA,4
4H46,3
4C1E,3
4XMT,3
5IKK,3
2QCA,3
1KLN,2
3HLW,3
3VFA,3
1DEU,3
1KI4,2
1ZWY,3
1PHR,3
2HHS,2
1IZ0,1
4GFP,2
4ARC,6
3GOP,2
2CPO,1
1HNB,2
3DBQ,2
1WNT,1
2I0U,3
1L8F,3
2DQE,3
2JH2,3
1HAH,3
3IBW,2
4TZ6,3
3AHS,3
3ISV,5
1XIQ,2
5SV3,3
4AWS,1
3DVS,3
1CKD,3
2DSF,3
4EP5,3
2ZDM,3
2IMP,1
1F75,2
1EFX,2
5KXW,3
5EP7,2
3GRH,3
1K7Q,3
4AFE,2
3OWC,2
1XWI,3
5ECW,3
5C4E,2
3ZVR,3
4BRF,3
3HUN,3
3EH4,1
3MGM,3
1F14,1
1EZS,3
1NK4,2
3DMX,3
1F8U,3
5DIR,3
1Z12,3
4NTK,4
4ECW,2
1ZC2,3
4ND7,6
1RGY,3
2CG5,2
4LVD,2
3MXM,3
3OWX,1
5HNR,4
1K0L,1
1ZK2,1
1J7G,3
2GFV,2
3JSW,3
5C4F,2
1OHB,2
3BTQ,3
2LYO,3
3TZ5,2
2A5L,1
2A8I,3
3RFA,2
4DF3,2
1TVP,3
2JDR,2
1MFF,5
3CQE,2
2VF2,3
3U3H,5
1YM5,5
4L6H,2
3KB7,2
235L,3
4XCH,4
2F29,3
2BV0,1
4QA7,3
2XWY,2
2GY7,2
1F2C,3
1WSE,3
3UVF,3
4IQT,2
1JH7,3
